customer_message,expected_intent,expected_escalate,predicted_intent,predicted_escalate,response,similarity,response_quality
"@115858 new iOS won't search files within dropbox when I do a basic search on my phone. also is auto-capitalizing stupid words like ""bad""
@294070 We can happily help look into this with you. Which iPhone do you have &amp; what version of iOS are you running?",billing,no,technical_support,n,@297651 Let's look into this deeper. Could you Direct Message us so we can get more information? https://t.co/GDrqU22YpT,0.6219872832298279,good
Like @115858 just BLEW tf outta me this shit for fucking irritating. Here I️ am writing a paragraph to my brother who is going through tough times and my shit just GLITCHED AND CLOSED OUT MY FUCKING MESSAGES AND DELETED EVERYTHING WTF IM SWITCHING TO ANDROID THIS DUMB ASS SHIT,delivery,no,other,n,"@485212 Let's get that autocorrect issue resolved. Try this: https://t.co/xXaXeeSRt9 If you're having any other issues, let us know.",0.6716054081916809,good
"Help please... my iPhone screen has frozen, it will only let me unlock. I can't click on any apps? @115858
@662808 We certainly want to do everything possible to get this resolved for you. We would like to look into how we can assist. Let's start by confirming the version you're currently running. You can find that by going to Settings &gt; General &gt; About on your iPhone.",product_issue,no,technical_support,n,@670633 We'd love to help. Is it freezing when trying to unlock the device using Face ID? DM the answer below. https://t.co/GDrqU22YpT,0.7157670259475708,good
"You can now add more controls to Control Center in iOS 11. Here's a guide. 
Learn more https://t.co/D5hw2gyots https://t.co/cpVyAGxQAg",cancellation,no,other,n,@155296 You're right. It hasn't always been this way. It's a new feature of iOS 11. You're more than welcome to share your feedback with us about this feature here: https://t.co/eTPVYVFyd8,0.6229156851768494,good
@AppleSupport all my photos just got deleted from my phone ):,connectivity,no,other,n,@467957 Great. Let us know if we can do anything else to assist. We're here to help.,0.8681831359863281,good
"@AppleSupport Is there a way to have emails marked as read not immediatley but rather after a few seconds? Thanks!
@326629 Are you referring to emails that you’ve read in the Mail app or something else? Which device and OS are you using?",technical_support,no,technical_support,n,"@678364 What Apple device are you using with Mail, and do you mark as read from the notification or the app itself?",0.7432843446731567,good
"@AppleSupport I may have missed this...but where did the podcast timer (countdown) go in the new iOS?
@373074 We'd be happy to help. Are you referring to the Sleep Timer in Podcasts?",information_request,no,information_request,n,"@697443 You'll need access links to content in public courses from your iOS device, however iTunes U collections can be accessed via iTunes on the Mac. 

What does iTunes show for the version number you are you using? Let us know in DM. https://t.co/GDrqU22YpT",0.7008256912231445,good
"Ever since the new iPhones were released, my 6s has been glitching like crazy. I swear @115858 is somehow making older phones dud out when you update iOS software.
@793344 We'd like to help. Could you elaborate on the issues you've experienced?",product_issue,yes,technical_support,n,@144217 What kind of issues are you having with the iPhone? We'd love to help out.,0.7772157192230225,good
"@AppleSupport I updated to ios 11 two weeks ago and since then i havent had service, please help
@556375 Thanks for reaching out again. Is this the same device we were chatting about some time back that had been dropped and repaired?
@AppleSupport no
@556375 In the upper left corner of the screen does it say No Service? Are you on iOS 11.0.3 or an earlier version?",cancellation,no,technical_support,y,@195714 Do you have any updates for the Apps that are not running smoothly in the App Store? App Store &gt; Updates &gt; Swipe down to refresh,0.810580313205719,good
"@AppleSupport whenever I save an image with a transparent background it doesn’t stay transparent? It makes a white background itself.
@130035 We're here for you. What device are you using?",connectivity,yes,technical_support,n,@130035 We want to help you look into what is going on. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,0.7390511631965637,good
"@AppleSupport I got a new iPhone X and did a restore of backup from previous iPhone.

Text replacements did not come with the restore and have not synced to new iPhone X.

Is there a way get them to sync? (I have them on iPad and iMac)
@143491 Congratulations on your new iPhone X! We'd be happy to help. Did you restore using iCloud or iTunes? Are you signed in with the same Apple ID on all devices?
@AppleSupport Same Apple ID
@143491 Are both the iPad and iMac running the most current updates? For the iPad, we've released iOS 11.1.2 and the iMac should be running 10.13.1 to be up-to-date. Do you also have the same iCloud accounts on these devices?",account_access,no,account_access,n,@143491 Meet us in DM if you'd like further assistance exploring support options for this: https://t.co/GDrqU22YpT,0.6544101238250732,good
"@115858 #iOS11 battery life is awful. Getting &lt;50% battery life vs previous. Pls fix!
@171610 Battery life is important, and we're here for you. To get started, which device are you experiencing this on?",technical_support,no,technical_support,n,@614614 That's not the experience we want you to have with iOS 11. Which device are you using? Reply in DM so we can gather some more info. https://t.co/GDrqU22YpT,0.8346537351608276,good
"Why MY pictures in MY camera roll have to load? Pictures be blurry and shit. I️ be thinking my stuff came out trash but they buffering. @115858 fix it my G
@776603 Photos are an important part of our lives here at Apple and we want to ensure you're able to view your Photos without issue. To help guide us through troubleshooting, what iOS version is shown in Settings &gt; General &gt; About? Also, do you use iCloud Photo Library?",connectivity,no,technical_support,n,@523952 So we're on the same page. Are you meaning the built-in Photos app or are you meaning a third party application?,0.725631594657898,good
"@AppleSupport is it possible to walk in to an Apple store on 11/03 and enroll in the iPhone upgrade plan as a T-mobile customer on the spot?
@375327 For best assistance with our iPhone Upgrade Program please reach out to our Advisors here: https://t.co/8yjRd1Xo0i",information_request,no,technical_support,n,"@417847 We'll point you in the right direction. For help with pre-ordering an iPhone X, reach out here: https://t.co/8yjRd1Xo0i",0.7135468125343323,good
"@AppleSupport Is this a bug? The page says this app has been updated 11 times in the last 10 minutes.
https://t.co/wbVO5bYMS1
@73023 We'd like to take a look into this. Send us a DM with more details, and we'll start there. https://t.co/GDrqU22YpT",delivery,no,technical_support,n,"@258958 Got it, thanks. We also recommend the steps at the bottom of our article here: https://t.co/WrE5SQuHlX Keep us posted on the results.",0.8381890654563904,good
"@AppleSupport why do all my photographs that I've deleted keep coming back with a cloud icon? Photostream is turned off!
@AppleSupport I've been deleting them more than twice now and now there's over 11000!! They turn up after appearing like this https://t.co/aPPIs7OPvC
@312178 We'd be happy to look into this with you. Can you provide us which iOS you're using? Do you use iCloud Photo Library?",account_access,no,information_request,n,"@174256  OK! For more help with Photos, you can use this link to contact our Photos team: https://t.co/IBIY3vMgPj",0.7191054821014404,good
"Idk who I want to fight more @ATT or @115858 😅😅 is either my phone continues to go on no service, bell or some other weird shit and only works under WiFi in another hand I️t Continues to act slow and freeze. 😅",connectivity,no,connectivity,n,@598568 your iPhone is important to you; we'll do all we can to help. Let us know in DM if these steps help: https://t.co/H7w57rsYVQ https://t.co/GDrqU22YpT,0.6317769885063171,good
i want my gorillaz videos back on my phone damn how do i do that,cancellation,no,information_request,n,@404550 We'd like to help! Check out this article: https://t.co/KSr0Br9YuG,0.5634669065475464,good
"@592239 It’s an iphone glitch. every time  I type the letter “I” it auto corrects to I️ ...it’s so weird
@592238 SOO weird aha https://t.co/xprw05ZJ6h
@592239 that’s what it looks like for me too!!! it’s so annoying
@592238 I actually thought it was the new emojis I couldn’t see because I haven’t done the update",account_access,no,technical_support,n,@498519 Thanks for reaching out. We currently have a workaround for this. Here's how: https://t.co/xXaXeeSRt9,0.8476425409317017,good
"@AppleSupport ever since the new update my alarm snooze doesn’t work, if you hit it, it freezes, I hit snooze at 6:10..... https://t.co/13BW8zm2ZG
@388823 Alarms and snoozing are great features and we want to help. What iOS version is on the iPhone? And has this happened before?",technical_support,no,technical_support,n,@365427 Let's work together to figure this out. Could you meet us in DM? https://t.co/GDrqU22YpT,0.6905643939971924,good
Dear @AppleSupport please add a “clear all” for “up next” in apple music,cancellation,no,other,n,@362695 That is the current path to remove songs from the Up Next playlist.,0.7026101350784302,good
"@AppleSupport  I can receive on my facetime - MacBook air. However if I try to vidcall the other person won't get my call. What can I do?
@127411 We're here for you. Check out this article for help with FaceTime: https://t.co/9TOn04wzxN
@AppleSupport Thank you for the reply. That Page was thé first thing I have double checked. I can connect with a contact. But that contact gets nothing..
@127411 Thanks for trying those steps. Is this happening with one contact, or all contacts? Have you restarted your MacBook Air?",product_issue,no,connectivity,n,@389952 OK. Let's continue the conversation in DM.  Which country are you located in? https://t.co/GDrqU22YpT,0.708754301071167,good
"@AppleSupport why do my calls not go through all the time? Sometimes it’ll ring once and hang up. They aren’t blocked and I updated
@468638 We'll do all we can to help. Is Voice Over LTE enabled?
@AppleSupport Yes voice and data lte are on
@468638 Great. You mentioned that you updated your device; are you running iOS 11.1 now?",connectivity,no,account_access,n,@679745 Send us a DM and we can take a closer look into this with you. https://t.co/GDrqU22YpT,0.7286550402641296,good
"Ok, @AppleSupport, you're officially losing a customer. My iPhone 6s is useless since the ios update. Battery is dead within a couple hours. Why does this happen every time you update ios? So sick of this. I now have a useless phone.",delivery,no,technical_support,n,"@170459 Battery life is important, and we're happy to see how we can help. To get started, send us a DM with the exact iOS version your iPhone is running. We'll continue from there. https://t.co/GDrqU22YpT",0.7484802007675171,good
"Share your favorite music with the world or keep the hidden gems to yourself. You choose which of your Apple Music playlists get shared. https://t.co/QKrVxm50y0
@AppleSupport I just want to be able to make a podcast playlist *on* *my* *computer* and sync it to my phone. Like I used to, before your precious iOS 11.",cancellation,no,other,n,@118095 We want to help further! What model of iOS device are you using? Do you have the most recent version of iOS 11.1 downloaded?,0.6852539777755737,good
My phone is so fucked up man @AppleSupport wish I could have a new one 😫,technical_support,no,other,n,@500549 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,0.807921826839447,good
"DELETE THIS SHIT I️  &lt;— @AppleSupport
@240082 We've released an update which should fix this issue. To install this version, iOS 11.1.2, make sure to create a backup and update using the steps here: https://t.co/80YRnjVguS

Let us know if we can help with anything else!",account_access,no,technical_support,n,@173673 Got it. Let's see if you can check the device storage from iTunes as outlined here: https://t.co/lk3vwAQBbi,0.9333251118659973,good
"@115858 iPhone on #ios11 so slow, sometimes touch areas not working, virtually unusable.  Was going to do iPhoneX, but going2 android now :(
@753325 Let us help. Does this happen while using any specific app or feature on the device? Which version of iOS 11 are you running?
@AppleSupport Any app, IOS 11.0.3.
@753325 Do you have a recent backup of this device?",technical_support,no,technical_support,n,@540217 Send us a DM and we’ll work together on getting your iPhone back up to speed. Tell us which iPhone you have. https://t.co/GDrqU22YpT,0.8101181983947754,good
"@AppleSupport Can you tell me how I can scan a document into notes, if I’ve already taken a picture of it, i.e. I want to use the image that’s already in my photo library. I can’t see a way to do this. Thanks!
@121038 Sure thing! We are glad to help! Could you let us know which iOS version you are running? The process has changed a little, and we want to make sure we’re giving you the best direction. You can find this info at Settings &gt; General &gt; About.",technical_support,no,information_request,n,"@771306 Is this your first time using the scan feature? If not, has the scan feature worked properly before? Let us know via DM, then we can dig in to this further from there. https://t.co/GDrqU22YpT",0.7483651638031006,good
"Updated your #iPad to iOS 11? Here's a look at the new Control Center and App Switcher.

Learn more: https://t.co/I8S8tdA4ZP https://t.co/enQf8rktyS
@AppleSupport Who's responsible for the data we lost!
When the iPhone stuck because of your iOS11 😡 

Even when we updated it to 11.1.1 it stuck again!! 

What can we do about that!!!
@725346 Hello. We want to help. Please tell us more about what you experienced with data loss when you updated your phone.",connectivity,no,technical_support,y,@725346 Hello. We want to help. Please tell us more about what you experienced with data loss when you updated your phone.,0.8366469740867615,good
"@115858 @AppleSupport Any help with this? Thanks in advance!!! https://t.co/kb4I1ZopdH
@479258 There's a few things we can do. Do you have a computer with iTunes installed, or a computer you can install iTunes on?  We can use that or another Wi-Fi network.
@AppleSupport Computer is operational at the moment and I’ve tried a different wifi network and still same result. Any other options?
@479258 Let's try connecting it to the computer and updating through iTunes. Let us know if you have any issues doing it that way.",account_access,no,connectivity,n,@680388 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT,0.8492223620414734,good
"Hi @AppleSupport my iPhone 6s Plus battery doesn’t seem to hold its charge too well. Anything you can do to find out the problem?
@244392 Absolutely! We’ll be glad to see how we can help. To start, can you tell us the iOS version your iPhone is on?",product_issue,no,billing,n,"@574651 We’d love to help with your battery life. To start, send us a DM letting us know which software version you’re using. https://t.co/GDrqU22YpT",0.8311211466789246,good
"Is this from you or a scam please @AppleSupport email is __email__ can send photo privately as got my email address on it. Thanks
@140829 We're here to help. That email address is not an official Apple email address meaning the email you received is not official Apple correspondence. Here is more information on phishing attempts and how to avoid them: https://t.co/LNMCdqt6fD",account_access,no,information_request,y,"@576186 Fantastic, we're happy to hear that! Feel free to contact us in the future with any other questions or concerns.",0.6938374042510986,good
"@AppleSupport why can’t I type the word I.T today!!  Every time I try to type the word  this happens ! I.T. I.T.  ( the letters I then t)
@629072 Thank you for reaching out to us. Let’s work together to find the best course of action for this issue. To start, what device model and software version are you using?",technical_support,no,technical_support,n,@257638 Could you let us know the software version you're using? You can find this by going to Settings &gt; General &gt; About.,0.7802118062973022,good
"Hey @123765 and @115858 why is Twitter app unusable on iOS without losing my podcast/music I’m alreaDy listening to? This only started today and it’s way annoying.
@143499 We'd like to know more to assist. Which iOS are you currently using? Also, we'd like to clarify do your podcasts and music stop playback when opening the Twitter app? Let us know the details and we'll continue.",billing,no,information_request,n,@195063 Thank you. Does this happen when playing video through other apps as well or does the problem seem to be limited to Twitter?,0.6678082346916199,good
"every app on my phone crashes now 😒 @AppleSupport
@371429 This is not the experience we want you to have. Which iPhone model do you own?",technical_support,no,technical_support,n,@393077 Thanks for letting us know. Please send us a DM so we may better assist you. https://t.co/GDrqU2kzhr,0.7951667904853821,good
"Hey @AppleSupport my music app keeps crashing when I open it and I’ve rebooted and everything 😭😭😭
@432110 We want to help. Which iOS device are you using?",technical_support,no,technical_support,n,@489837 We want you to be able to listen to your tunes. Does this happen when the app is open or when trying to open the Music app?,0.7953057289123535,good
"@AppleSupport I figured that. If I’m an Apple Music subscriber, is there a way I can purchase a single DRM-free song to use in a Photos slideshow?
@423103 Using iTunes Plus would make available songs that are DRM- Free. Follow the steps here: https://t.co/bkdNVKOsaw
@AppleSupport it looks like iTunes Plus requires an iTunes Match subscription though right? I only have Apple Music subscription
@423103 @AppleSupport Translation: you’re screwed. 

Also I’ve looked into it and Apple Music on the Mac stores files in FairPlay 2 DRM format. Need to buy song.",cancellation,no,billing,n,@423103 Using iTunes Plus would make available songs that are DRM- Free. Follow the steps here: https://t.co/bkdNVKOsaw,0.9169409871101379,good
"@115858 Okay Apple...this has been happening with a few apps. This top to bottom screen is not working if the top bar overlaps and enables you from clicking options! Make it worth the $999 plssss https://t.co/bEbWdQMN0a
@664489 We certainly want to help with this. To start, let's go ahead and restart your iOS device. Here's how: https://t.co/OWRDHWSt4h

Please keep us posted on the results.
@AppleSupport Didn’t work
@664489 Which iOS version are you running in Settings &gt; General &gt; About? Does this only happen in specific apps or all? When did you first notice this happening on your device?",product_issue,no,technical_support,n,@501468 We'd like to make sure that you stay connected to Wi-Fi. Is this happening to multiple Wi-Fi networks or a specific network?,0.607892632484436,good
"@115858 fix my touch id pls
@595488 Let's work on this together. What is going on with your Touch ID? Have you tried the steps here? https://t.co/xqiXha6yeB",account_access,no,information_request,n,@327471 Are you able to add a new fingerprint through Settings? https://t.co/AsMLCsnb6S,0.7869083881378174,good
"@AppleSupport this is your response in DM?? Are you guys serious.m very unsatisfied with your services. https://t.co/48WyXQx78l
@AppleSupport Any update. @63415 sir they people is not giving me update about my problem what should I do. Need ur help
@311817 It's important to us that you're able to enjoy your iPhone, please connect with us in DM and we'll continue from there: https://t.co/GDrqU22YpT",account_access,no,connectivity,n,@758088 We’d love to take a closer look into this. Send us a DM where we’ll pick up the conversation from there. https://t.co/GDrqU22YpT,0.7511738538742065,good
"Wish I never updated my phone 🙄@115858 @AppleSupport tell me why my phone restarts all the time
@437459 We'd love to help out. Are you seeing this issue with any specific apps or usage?  Do you do anything to restore function?
@AppleSupport It restarts when I’m on Snapchat. And dies a lot
@437459 Is it only restarting when you're using this particular app? Do you know what version of the iOS is on the device?",technical_support,no,technical_support,n,"@344054 Hi there. You're very welcome. To your knowledge, have any Accessibility features been turned on: https://t.co/HEkTnl8mhW",0.7570056915283203,good
"@AppleSupport help ?
@140680 Hello there. We'd love to help you with your Alarm app. Please tell us which version of iOS you have installed on your device. You'll see this in Settings &gt; General &gt; About.
@AppleSupport 11.1.1
@140680  What happens when you try using your alarms?",account_access,no,technical_support,n,"@796070 Let's take a look at this further for you. Send us a screenshot of your set alarms in DM. How to take a screenshot on your iPhone, iPad, and iPod touch: https://t.co/iQkc2ZuaLN https://t.co/GDrqU22YpT",0.7930382490158081,good
