conversation_context,intent,escalate
"@115858 Okay Apple...this has been happening with a few apps. This top to bottom screen is not working if the top bar overlaps and enables you from clicking options! Make it worth the $999 plssss https://t.co/bEbWdQMN0a
@664489 We certainly want to help with this. To start, let's go ahead and restart your iOS device. Here's how: https://t.co/OWRDHWSt4h

Please keep us posted on the results.
@AppleSupport Didn’t work
@664489 Which iOS version are you running in Settings &gt; General &gt; About? Does this only happen in specific apps or all? When did you first notice this happening on your device?",product_issue,no
"@115858 fix my touch id pls
@595488 Let's work on this together. What is going on with your Touch ID? Have you tried the steps here? https://t.co/xqiXha6yeB",account_access,no
"@AppleSupport this is your response in DM?? Are you guys serious.m very unsatisfied with your services. https://t.co/48WyXQx78l
@AppleSupport Any update. @63415 sir they people is not giving me update about my problem what should I do. Need ur help
@311817 It's important to us that you're able to enjoy your iPhone, please connect with us in DM and we'll continue from there: https://t.co/GDrqU22YpT",account_access,no
"Wish I never updated my phone 🙄@115858 @AppleSupport tell me why my phone restarts all the time
@437459 We'd love to help out. Are you seeing this issue with any specific apps or usage?  Do you do anything to restore function?
@AppleSupport It restarts when I’m on Snapchat. And dies a lot
@437459 Is it only restarting when you're using this particular app? Do you know what version of the iOS is on the device?",technical_support,no
"@AppleSupport help ?
@140680 Hello there. We'd love to help you with your Alarm app. Please tell us which version of iOS you have installed on your device. You'll see this in Settings &gt; General &gt; About.
@AppleSupport 11.1.1
@140680  What happens when you try using your alarms?",account_access,no
"Anyone finding iOS 11 Safari frequently drops pages from history or randomly scrolls to a different point when refreshing a page?
@402269 Scrolling to a random point, yes. Safari for iOS has become a little buggy, while Safari for the Mac is becoming unusable; @115858?
@402268 Thanks for tagging us, we'd like to help with both. Let's start with iOS. Which version? It's in Settings &gt; General &gt; About.",account_access,no
"@AppleSupport any way I can know my iphone hardware health?
@303497 Thanks for reaching out.  We want to help.  Can you tell us more about what you are experiencing?",technical_support,no
"Nice “upgrade”, @115858. EVERY application now runs slower on my phone. Even the home screen takes longer to load.
@202923 @115858 My 6s is slow as molasses on iOS 11",connectivity,no
The only thing I hate about this iOS 11 update is the fact I can’t turn off auto brightness . 🤦🏽‍♂️,technical_support,no
"hey @AppleSupport , trouble with 10,13. Every time I restart my iMac, some files change their default app. I've seen it with jpg and png (switching from preview to capture app) and mp4 + mkv (switching from VLC to SolEol, a subtitle app. or quicktime.)
any idea why?
@AppleSupport I have to manually change the default app (cmd+i) and apply to all. and then it's ok. until I shut down and turn on the beast, and then… back to the other default app. It also happen sometimes without restart… but it's harder to quantify the situation then.
@250054 Thanks for reaching out to us. Has anything changed since you first noticed this happening? Does this happen when booting in Safe Mode? https://t.co/yzqLZ7lfa4",technical_support,no
"@AppleSupport, this update to Sierra has not been well received. https://t.co/ffQSjqtb9c
@818123 We want to look into this further with you to figure out what's causing this. Does it only appear this way on certain screens? Have you tried anything on your own that hasn't worked?",product_issue,no
"So I’m using my iPhone charger and I get the message saying “ This accessory is not compatible “ 
😩😩",product_issue,no
"@AppleSupport my phone acts like it has no cellular service doesn’t wanna load anything is it cuz of the update ?
@443576 We can get to the bottom of this together. Does this happen in multiple locations? Do you have service currently?",connectivity,no
"Mac book pro 2016 issues ... Please RECALL
-Keyboard, unpleasant and shrill type sound (while high-load and heated)
-Keyboard, non-responsive keys(Often occurred)
-Sudden freeze (problem with graphic system?)
-Physical tap sound from inside (Trackpad error?)
@AppleSupport @115858",technical_support,no
"@115858 can we get this fixed or naw ? @AppleSupport https://t.co/bsCNHxtUTY
@503857 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT",account_access,no
"@AppleSupport Hi there, I would like to know the battery health in my iphone, can you guys help me with that?
@184505 Hey, thanks for reaching out. Are you experiencing any issues with your iPhone battery? If yes, what's going on?",account_access,no
"This new apple update seriously SUCKS. My phone is lagging and freezing and I cannot install new apps. Get it together Apple. @AppleSupport
@756464 We want you to have a good experience with the update. Which update is currently on your iPhone? You can find out by following the steps here: https://t.co/ZTw54HL4Rm
@AppleSupport I have the latest update available. 11.1.2
@756464 Did these issues happen before updating to iOS 11.1.2? If so, do you remember which update this started on?",technical_support,no
"Wonder if I could still convince @AppleSupport to replace my mid-2010 Macbook Pro's gfx card, since I didn't know there was ever a recall…",technical_support,no
"@AppleSupport Pathetic IOS 11, UI lag, speakar not working and phone hang so frequent on my iphone 7, is it trick to sell new one ??",technical_support,no
"@115858 @AppleSupport what is this ? Common now don't be like that pls fix this https://t.co/WbYwDm7RHA
@716732 We'd like to look into this with you. Could you tell us which version of iOS you're running? Are you experiencing this issue with all notifications or only certain ones?",account_access,no
"i️ can always rely on u to ruin a good mood
okay this autocorrect thing that is changing i️ into that weird shit is really pissing me off",complaint,no
"@115858 @53909 @AppleSupport Why does this weird circle keep showing u o when I try to talk to Siri? https://t.co/lyX3cLMGLy
@420894 That is the Siri button in iOS 11. You can click on that to speak to Siri.
@AppleSupport It doesn’t do anything when I press it. And other times when I hold down the home button I get the horizontal line and Siri will work then.
@420894 Is your device configured for ""Hey Siri!"", and if so, does that function work as expected? When did this issue start?",technical_support,no
"@AppleSupport The iPhone 8+
@682649 Thank you. When do you experience this crackling? Is it constant or intermittent? Does it happen in every app and call?
@AppleSupport It’s pretty constant but only when I listen to music on the speaker
@682649 Let us know any troubleshooting you may have tried on your own, such as any restarts or updates. We'll work from there.",technical_support,no
"@AppleSupport hi i am in the Uk can we add paypal to make purchases?  To buy things from in apps ?
@157656 Here is a helpful link on payment methods. https://t.co/QlgvVVFJem",billing,no
"@AppleSupport the music player in the lock screen is fucked. #ios11update #iphone6s
@534833 We'd be happy help. Are you playing the music through the Apple Music app? Please DM us the exact version of iOS 11 you're using: https://t.co/GDrqU22YpT",account_access,no
@AppleSupport 6S bought five months ago discharging very fast and at times over-heating. Need help! TIA,billing,no
"@AppleSupport Not able to call or talk to people on my iPhone 7+... is this due to the iOS 11?
@372794 Let's look into this together so we can get your cellular features working again. Do you have signal bars? Have you restarted?
@AppleSupport I have a signal bar. Reset it once and it worked for a bit...reset it again and then it took 20 min to come back on.
@372794 Let's see if you have a carrier update available. This link helps with how to check: https://t.co/bfoi2mhtX3",connectivity,no
iPhone 8 and iPhone 8 Plus. A new generation of iPhone. Available now.,delivery,no
"@AppleSupport new iphone 8 plus with issue in the 4g 😒
@771871 We'll get you back to enjoying your new iPhone. Tell us more about the issue you're having with your 4G.
@AppleSupport Phone has no signal for hours
@771871 Let's start by following the steps in this article: https://t.co/5KootZbxj1

Are you in an area with cellular coverage? Also, have you tried to restart you iPhone?",connectivity,no
Can someone explain why my phone just decided to delete all of my text conversations randomly?,connectivity,no
"Dear @115858 @AppleSupport my phone started acting funny since the first new update 😫😩😔😤😡‼️‼️ Please fix or help!
@323726 We can help. Can you tell us more about what you're experiencing? Which iPhone model do you own?",technical_support,no
"IOS11.02 insane .... few apps disn’t wrk right .. @115858 @AppleSupport whats wrong with your standards?? https://t.co/lkJE4tkWDF
@200562 We know how important it is to have your apps working as expected. Is the app in the video the only one doing that?",technical_support,no
"@AppleSupport The keyboard backlight on my MacBook Air (Late 2013) is not working. Is there any chance that it is a software issue? Thanks.
@268751 Thanks for reaching out to us about this. We'll be happy to assist. First, let's try the steps in this article a try: https://t.co/FYojVXHuwn",product_issue,no
"Hey @115858 @AppleSupport why does High Sierra keep crashing my Mac? its crashed 6 times in a day so far.
@125605 That shouldn't be happening. Let's help. Which version of macOS High Sierra are you using? What happens when it crashes?
@AppleSupport I’m using 10.13.1. It crashed a few times before I updated last night and today as well. The laptop just shuts off completely.
@125605 Let's start with resetting the SMC. Here's more about the SMC and how to reset it: https://t.co/FYojVXHuwn Did that help?",technical_support,no
"The iOS 11 point whatever does nothing but suck the life out of my battery. Way to go @115858. #fb
@204718 Thanks for reaching out to us. Please let us know which device you are using and when you updated your device. Thanks.",technical_support,no
"@AppleSupport hey Apple my MacBook Air suddenly showed a guest user account and some weird version of it? How can I delete this? (I’ve deactivated guest user account) the smiley covers my real on only account 😉 https://t.co/s2zAaKkvYH
@629924 DM us using the link below. Let us know if you recently updated your MacBook Air. https://t.co/GDrqU22YpT",account_access,no
"@AppleSupport https://t.co/nD489AZnJ7
@727159 You've reached the right place for support. To start, can you tell us more about this screenshot? When did you start receiving this message? Also, which model of iPhone and iOS version are you using?",account_access,no
"@AppleSupport @116333  Great job apple at messing up older iPhones (6) with the iOS 11.0.2 &amp;11.0.3 . View the clear Lag in the video . https://t.co/gnyaoEQO86
@504440 Thanks for providing the video. We're glad to help you. How long has it been since you have updated?",technical_support,no
"@AppleSupport I’ve downloaded the new iPhone update and my battery lasts half as long. What’s going on?!?
@130248 We completely understand wanting to have good battery life. How long is the battery lasting on a full charge after the update?
@AppleSupport 30% less than before the update. I was totally happy with the battery before this.
@130248 Apologies for the confusion. We meant how long in hours would it last on a full charge.",delivery,no
Why I am not able to sync few offline mp3 tracks to my phone’s iTunes? It says  “Item not available”. I can play it on my Mac. https://t.co/Q23X4Okz43,technical_support,no
"Hey @AppleSupport 
I want to buy unlocked iphone X to use in India, but every sells person in online chat it telling different stories. Please help.
@772037 We're happy to assist. Feel free to contact our Sales Team here:  https://t.co/8yjRd1Xo0i",information_request,no
"is anyone else’s phone intensely glitching ?? @115858 fix this lol
@531462 We want to help. Tell us more about what's happening with your iPhone.",technical_support,no
"@AppleSupport i only have ONE wifi to connect to . ain’t no options . and this https://t.co/wPbLe6lcby
@684198 Let’s make sure your Wi-Fi connection is not having any issues. When you go to Settings &gt; Wi-Fi, do you see a recommendation under the name of the Wi-Fi?
@AppleSupport this ? https://t.co/rOQ8ihJ7KT
@684198 Let's try resetting the network connection on your iPhone to get fresh connection. Tap  Settings &gt; General &gt; Reset &gt; Reset Network Settings. This also resets Wi-Fi networks and passwords, cellular settings, and VPN and APN settings that you’ve used before.",connectivity,no
The @115858 #TouchBar is simultaneously the most useless and distracting thing I've ever seen on a laptop.,technical_support,no
"Love when my alarm shuts off never goes off and phone shuts down on its own......@115858 expecting a brand new phone
@802213 We understand how much you rely on your iPhone and we're here to help. 

What version of iOS are you currently on? The latest is iOS 11.1.2. 

Additionally, if you create a brand new alarm does the issue persist?",technical_support,no
"@115948 @AppleSupport why don’t my playlists appear in my library?? :(
@498301 We'd like to help! Can you tell us the device you are using?",product_issue,no
"@115858 can you fix your updates so our I can go back to normal please thank you!
@466539 We can help! What kind of issues are you seeing, and with which software?",technical_support,no
"Omg @AppleSupport your iPhone #battery life is appalling. In 2 hrs, battery has gone down 40% despite limited use.
@191488 We’re glad you reached out to us today. Battery life is important to stay connected to family and friends, and we’re happy to give you our best tips. Check out this article to maximize your battery life: https://t.co/bivpdfBNJ6 Let us know if further help is needed.",connectivity,no
"@AppleSupport Spotify doesn’t show on lock screen and neither does the volume/RT bar at all. Phone has crashed twice, all after the update.
@416997 Thanks for reaching out. We would love to help you. Can you please tell us which version of iOS you are currently running?",product_issue,no
"هل واجهت مشكلة تعليق الجهاز على شعار  بعد تحديثات iOS 11.x الأخيرة؟ 
@AppleSupport",information_request,no
"Dear @115858, please update High Sierra. These glitches are really freaking me out. Thanks in advance - a long time user. https://t.co/Fg0V7UOzCB
@189527 We'd like to help. Could you clarify what specific application(s) you're having this issue with specifically?",technical_support,no
"@AppleSupport Still waiting for reply #iphone7 #apple
@AppleSupport Check update https://t.co/te5ipF5LmU
@222729 Thanks for following up with us about your iPhone. We understand wanting to get this issue resolved. Please send us a DM and we'll continue to troubleshoot together. https://t.co/GDrqU22YpT
@AppleSupport What is dm??",delivery,no
"Is there way to get my volume to stop muting randomly?? @AppleSupport
@692943 Thanks for reaching out to us today. We'd be happy to look into what's going on with your sound. So we can provide you with the best steps, can you let us know which device and software version you're experiencing this issue on?
@AppleSupport iPhone 7 Plus and iOS 11.1.2
@692943 Great! Thanks for confirming that for us. Next, does your volume mute randomly, when using a particular app, or when performing a specific action?",cancellation,no
